name:logis1	score:0.46079326428715284	score0:0.479874213836478	score1:0.44080604534005036	score2:0.45741324921135645	score3:0.461877756773787	score4:0.45483259633607076	score5:0.46995572422517395
name:logis1	score:0.453641903752006	score0:0.46064231738035266	score1:0.45110410094637227	score2:0.44917929292929293
name:logis1	score:0.4584800212757243	score0:0.46706586826347307	score1:0.45380006307158627	score2:0.4545741324921136
name:logis1	score:0.44407956085094985	score0:0.4424166142227816	score1:0.4492753623188406	score2:0.45397225725094575	score3:0.43434343434343436	score4:0.4311868686868687	score5:0.4532828282828283
name:logis1	score:0.3768017248934921	score0:0.38892385147891756	score1:0.3950850661625709	score2:0.37326607818411095	score3:0.35858585858585856	score4:0.37436868686868685	score5:0.37058080808080807
name:logis1	score:0.36523454314976206	score0:0.3832599118942731	score1:0.3868935097668557	score2:0.3669609079445145	score3:0.33964646464646464	score4:0.37058080808080807	score5:0.3440656565656566
name:logis1	score:0.44407956085094985	score0:0.4424166142227816	score1:0.4492753623188406	score2:0.45397225725094575	score3:0.43434343434343436	score4:0.4311868686868687	score5:0.4532828282828283
name:logis1	score:0.4746089620847325	score0:0.4740740740740741	score1:0.4515132798023471	score2:0.4703337453646477	score3:0.49133663366336633	score4:0.4777227722772277	score5:0.48267326732673266
name:logis_nva1	score:0.44407956085094985	score0:0.4424166142227816	score1:0.4492753623188406	score2:0.45397225725094575	score3:0.43434343434343436	score4:0.4311868686868687	score5:0.4532828282828283
name:logis1	score:0.4746089620847325	score0:0.4740740740740741	score1:0.4515132798023471	score2:0.4703337453646477	score3:0.49133663366336633	score4:0.4777227722772277	score5:0.48267326732673266
name:logis1	score:0.4746089620847325	score0:0.4740740740740741	score1:0.4515132798023471	score2:0.4703337453646477	score3:0.49133663366336633	score4:0.4777227722772277	score5:0.48267326732673266
name:logis1	score:0.4746089620847325	score0:0.4740740740740741	score1:0.4515132798023471	score2:0.4703337453646477	score3:0.49133663366336633	score4:0.4777227722772277	score5:0.48267326732673266
name:logis1	score:0.4746089620847325	score0:0.4740740740740741	score1:0.4515132798023471	score2:0.4703337453646477	score3:0.49133663366336633	score4:0.4777227722772277	score5:0.48267326732673266
name:logis1	score:0.4746089620847325	score0:0.4740740740740741	score1:0.4515132798023471	score2:0.4703337453646477	score3:0.49133663366336633	score4:0.4777227722772277	score5:0.48267326732673266
name:logis1	score:0.4746089620847325	score0:0.4740740740740741	score1:0.4515132798023471	score2:0.4703337453646477	score3:0.49133663366336633	score4:0.4777227722772277	score5:0.48267326732673266
name:logis1	score:0.4746089620847325	score0:0.4740740740740741	score1:0.4515132798023471	score2:0.4703337453646477	score3:0.49133663366336633	score4:0.4777227722772277	score5:0.48267326732673266
name:logis1	score:0.4746089620847325	score0:0.4740740740740741	score1:0.4515132798023471	score2:0.4703337453646477	score3:0.49133663366336633	score4:0.4777227722772277	score5:0.48267326732673266
name:logis1	score:0.4746089620847325	score0:0.4740740740740741	score1:0.4515132798023471	score2:0.4703337453646477	score3:0.49133663366336633	score4:0.4777227722772277	score5:0.48267326732673266
name:logis1	score:0.4746089620847325	score0:0.4740740740740741	score1:0.4515132798023471	score2:0.4703337453646477	score3:0.49133663366336633	score4:0.4777227722772277	score5:0.48267326732673266
name:logis1	score:0.4746089620847325	score0:0.4740740740740741	score1:0.4515132798023471	score2:0.4703337453646477	score3:0.49133663366336633	score4:0.4777227722772277	score5:0.48267326732673266
name:logis1	score:0.4746089620847325	score0:0.4740740740740741	score1:0.4515132798023471	score2:0.4703337453646477	score3:0.49133663366336633	score4:0.4777227722772277	score5:0.48267326732673266
name:logis1	score:0.4746089620847325	score0:0.4740740740740741	score1:0.4515132798023471	score2:0.4703337453646477	score3:0.49133663366336633	score4:0.4777227722772277	score5:0.48267326732673266
